"CNP10 Price Schedule - Effective March 1, 2022",,,,,,,,,,,
Item ID,Description,Pack Quantity,List Price,Customer Price,UPC,Weight,Length,Width,Height,,
441,Broan-NuTone 10-Inch Wall Cap for Range Hoods and Bath Ventilation Fans,1,$125.28,$61.39,026715039081,3.80,1.18,1.15,0.32,,
459,"3-1/4"" x 14"" to 8"" Round Transition",1,$57.08,$27.97,026715153794,1.90,1.28,0.67,0.77,,
502,"Broan 10-Inch, 270 CFM Side Discharge Ventilation Fan, White Square Plastic Grille, 8.0 Sones",1,$303.10,$148.52,026715022823,10.80,1.46,0.65,1.20,,
503,"Broan 8-Inch, 160 CFM Side Discharge Ventilation Fan with White Square Plastic Grille, 5.0 Sones",1,$196.92,$96.49,026715022830,7.90,1.29,0.54,1.04,,
504,"Broan 10-Inch 350 CFM Vertical Discharge Ventilation Fan, White Square Plastic Grille, 6.5 Sones",1,$242.06,$118.61,026715022847,8.60,1.17,0.78,1.18,,
505,"Broan 180 CFM 8-Inch Vertical Discharge Fan with White Square Plastic Grille, 6.5 Sones",1,$165.10,$80.90,026715022854,7.00,1.14,0.71,1.16,,
506,"Broan 10-Inch 430 CFM Chain-Operated Wall Ventilation Fan with White Square Plastic Grille, 7.5 Sones",1,$302.78,$148.36,026715022861,12.60,1.25,0.79,1.26,,
507,"Broan 8-Inch 250 CFM Chain-Operated Wall Ventilation Fan with White Square Plastic Grille, 7.0 Sones",1,$236.04,$115.66,026715022878,11.10,1.25,0.79,1.26,,
508,"Broan 10-Inch 270 CFM Through Wall Ventilation Fan, White Square Plastic Grille, 7.0 Sones",1,$302.78,$148.36,026715022885,13.30,1.63,0.92,1.23,,
509,"Broan 180 CFM 8-Inch Through Wall Ventilation Fan with White Square Plastic Grille, 7.5 Sones",1,$191.16,$93.67,026715022892,12.70,1.64,0.92,1.23,,
510,"Broan 10-Inch 380 CFM Room To Room Ventilation Fan with White Square Plastic Grille, 6.5 Sones",1,$273.56,$134.04,026715022915,10.20,1.13,0.73,1.17,,
511,"Broan 8-Inch 180 CFM Room To Room Ventilation Fan with White Square Plastic Grille, 4.5 Sones",1,$212.70,$104.22,026715022922,8.30,1.13,0.73,1.17,,
512,"Broan 6-Inch 90 CFM Room to Room Ventilation Fan with 8-Inch Round Grille, 3.5 Sones",1,$93.70,$45.91,026715022939,3.20,0.72,0.70,0.58,,
611,"8-Inch, Roof Cap, For Flat Roof, Aluminum",1,$113.36,$55.55,026715066926,3.40,1.35,0.93,1.34,,
612,"12-Inch, Roof Cap, For Flat Roof, Aluminum",1,$194.38,$95.25,026715066940,7.20,1.77,1.77,1.78,,
613,12-Inch Wall Cap Aluminum,1,$123.34,$60.44,026715066964,3.90,1.33,1.71,1.33,,
634,"Broan-NuTone Roof Cap, Steel, Black, 3-1/4"" x 10"" or up to 8"" round duct",1,$64.68,$28.83,026715002658,5.10,1.60,1.21,0.63,,
636,"Broan-NuTone Roof Cap, Steel, Black, 3"" or 4"" Round Duct",1,$37.06,$15.94,026715000609,2.00,0.95,0.81,0.44,,
639,"Broan-NuTone Wall Cap, Steel, Black, 3-1/4"" x 10"" Duct",1,$43.60,$19.42,026715002641,2.50,1.11,0.81,0.53,,
641,"Broan-NuTone Wall Cap, Aluminum, 6"" Round Duct",1,$88.84,$36.89,026715011377,1.30,0.79,0.79,0.67,,
642,"Wall Cap, Aluminum, 4-Inch Round Duct",4,$33.82,$16.57,026715011384,3.50,1.13,1.13,0.83,,
643,Wall Cap for 8-Inch Round Duct for Range Hoods and Bath Ventilation Fans,1,$111.96,$54.86,026715022946,2.40,1.13,1.13,0.88,,
644,"Broan-NuTone Roof Cap in Natural Aluminum Finish, 3-1/4"" x 10"" or up to 8"" round duct",1,$83.68,$41.00,026715003938,3.20,1.60,1.21,0.61,,
646,"Wall Cap, White Plastic Louvered, 6-Inch Round Duct",1,$60.18,$29.49,026715016051,0.90,0.69,0.71,0.70,,
647,Wall Cap for 7-Inch Round Duct for Range Hoods and Bath Ventilation Fans,1,$100.34,$49.17,026715052127,1.40,0.79,0.79,0.67,,
649,Wall Cap for 3-1/4-Inch x 10-Inch Duct for Range Hoods and Bath Ventilation Fans,1,$56.38,$27.63,026715003945,1.40,1.11,0.81,0.53,,
658,"Broan 70 CFM, Heater/Fan Combo, 4.0 Sones",1,$264.06,$114.20,026715023011,12.40,1.53,1.01,0.81,,
659,"Broan Heater/Fan/Light 50 CFM Ventilation Fan with White Plastic Grille, 2.5 Sones",1,$269.18,$131.90,026715023035,12.50,1.53,1.01,0.82,,
670,"Broan 50 CFM Ventilation Fan, 3.5 Sones",1,$82.92,$40.63,026715023059,3.80,0.85,0.36,0.79,,
671,"Broan 70 CFM Ventilation Fan, 6.0 Sones",1,$76.04,$31.02,026715002528,3.70,0.85,0.36,0.79,,
673,"Broan 60 CFM 8-Inch Vertical Discharge Fan with White Circle Plastic Grille, 4.5 Sones",1,$75.88,$37.18,026715002535,3.20,0.72,0.72,0.59,,
678,"Broan 50 CFM Ventilation Fan with Light, 2.5 Sones",1,$122.92,$36.94,026715002597,5.90,0.98,0.79,1.08,,
679,"Broan 70 CFM Ventilation Fan with light, 3.5 Sones",1,$136.62,$53.47,026715023097,6.40,0.98,0.79,1.08,,
682,"Broan Duct-free Ventilation Fan with plastic grille, snap-in mounting and charcoal filter",1,$86.14,$42.21,026715007196,3.50,0.74,0.42,0.79,,
688,"Broan 50 CFM Ventilation Fan, 4.0 Sones",1,$61.52,$16.25,026715002511,3.50,0.85,0.36,0.79,,
695,"NuTone 70 CFM Ventilation Fan, 6.0 Sones",1,$76.04,$31.02,784891258367,3.80,0.85,0.36,0.79,,
696,"Broan 100 CFM Ventilation Fan with Light, 4.5 Sones",1,$251.02,$123.00,026715023158,10.30,1.54,1.01,0.80,,
744,"Broan Recessed 70 CFM Ventilation Fan Light, 1.5 Sones",1,$218.96,$101.79,026715163014,9.40,1.20,0.79,0.88,,
750,"Broan 100 CFM Ventilation Fan with Light and Night Light, Round White Grille with Glass Lens, 5.0 Sones",1,$302.32,$120.53,026715148677,11.80,1.39,0.83,1.38,,
751,"Broan 100 CFM Ventilation Fan with Light, Round White Grille with Glass Lens, 5.0 Sones",1,$272.54,$98.80,026715148684,12.00,1.40,0.82,1.38,,
763,"NuTone 50 CFM Ventilation fan with Incandescent Light, 2.5 Sones with Transparent Polymeric Lens",1,$122.96,$38.72,026715235179,5.90,0.79,0.98,1.08,,
834,"Filter for 8"" Exhaust Fans (807C, 821C, 822C and 831C)",6,$23.92,$11.72,784891991615,0.20,0.88,0.88,0.06,,
854,Filter for 10-Inch Exhaust Fans,6,$29.12,$14.27,784891992827,2.52,1.13,1.08,0.33,,
889,3-1/4-Inch x 10-Inch Duct Sections for Range Hoods and Bath Ventilation Fans,5,$36.34,$17.81,784891999611,12.19,2.04,0.95,0.46,,
1006,"12"" Compactor Bags (includes 10 packs of 12)",10,$24.10,$11.81,026715023202,20.00,1.48,1.05,0.83,,
3808,Semi-Rigid 8 Ft. PVC Tubing In White,8,$12.12,$4.12,784891992315,13.70,8.00,0.67,0.33,,
3810,Semi-Rigid 10 ft. PVC Tubing in White,10,$14.68,$5.76,026715235445,22.00,10.00,0.71,0.46,,
3964,Rough-in Kit for 3-Inlet Installation,1,$138.46,$54.26,026715238439,5.20,0.94,0.69,0.82,,
8210,"NuTone 210 CFM Ceiling Mount Utility Ventilation Fan with Vertical Discharge, 6.5 Sones",1,$210.44,$103.12,784891212109,6.30,0.95,0.94,0.73,,
8310,"NuTone 160 CFM Wall/Ceiling Mount Side Discharge Utility Ventilation Fan 160 CFM, 5.0 Sones",1,$263.88,$129.30,784891213106,7.70,1.25,0.63,1.03,,
11297,VENMAR 24V WALL CONTROL                 ,1,$129.36,$63.39,772371112971,0.60,0.46,0.44,0.18,,
12030,VENMAR LIGHTED PUSH                     ,1,$39.24,$19.23,772371120303,0.12,0.46,0.29,0.08,,
35316,"Broan 1160 or 1600 CFM Powered Attic Ventilator, Gable Mounted",1,$278.70,$114.27,026715136971,13.10,1.38,1.32,0.73,,
273003,30-Inch Stainless Steel 500 CFM Downdraft with Stainless Steel cover,1,"$1,285.08",$629.69,026715052974,66.20,2.83,2.90,0.90,,
273603,36-Inch Stainless Steel 500 CFM Downdraft with Stainless Steel cover,1,"$1,285.08",$629.69,026715052981,72.70,3.33,2.89,0.97,,
283003,"30-Inch, Stainless Steel, Downdraft, Designed for Optional External Blowers. Choice of Optional Exterior or In-line Blowers Purchased Separately",1,$892.60,$437.37,026715054084,37.90,2.95,2.83,0.91,,
283603,"36-Inch, Stainless Steel, Downdraft, External Blower",1,$892.60,$437.37,026715054091,43.20,3.33,2.89,0.92,,
372401,"24-Inch, White, Under-Cabinet Hood Shell",1,$98.06,$48.05,026715032242,6.80,2.25,0.64,1.63,,
373001,"30-Inch, White, Under-Cabinet Hood Shell",1,$92.66,$45.40,026715032273,8.30,2.75,0.64,1.63,,
373004,"30-Inch, Stainless Steel, Under-Cabinet Hood Shell",1,$164.72,$80.71,026715044542,8.30,2.75,0.64,1.63,,
402101,"21-Inch, White, Under-Cabinet Hood, 160 CFM",1,$195.62,$95.85,026715030903,10.10,2.00,0.64,1.63,,
402401,"24-Inch, White , Under-Cabinet Hood, 160 CFM",1,$170.56,$51.17,026715023585,10.90,2.25,0.64,1.63,,
402404,"24-Inch, Stainless Steel, Under-Cabinet Hood, 160 CFM",1,$239.60,$79.29,026715023592,11.40,2.25,0.64,1.63,,
403001,"30-Inch, White, Under-Cabinet Hood, 160 CFM",1,$170.08,$49.60,026715010813,12.10,2.75,0.63,1.63,,
403002,"30-Inch, Bisque, Under-Cabinet Hood, 160 CFM",1,$170.40,$49.70,026715142538,12.10,2.75,0.64,1.63,,
403004,"30-Inch, Stainless Steel, Under-Cabinet Hood, 160 CFM",1,$238.68,$78.06,026715010820,12.60,2.75,0.62,1.63,,
403023,"30-Inch, Black, Under-Cabinet Hood, 160 CFM",1,$170.02,$49.59,026715030934,12.10,2.75,0.63,1.63,,
403601,"36-Inch, White, Under-Cabinet Hood, 160 CFM",1,$176.88,$53.07,026715010875,13.50,3.26,0.64,1.63,,
403604,"36-Inch,Stainless Steel, Under-Cabinet Hood, 160 CFM",1,$246.16,$81.46,026715010882,14.00,3.25,0.64,1.63,,
403623,"36-Inch, Black, Under-Cabinet Hood, 160 CFM",1,$176.82,$53.05,026715030941,13.50,3.26,0.64,1.63,,
404201,"42-Inch, White, Under-Cabinet Hood, 160 CFM",1,$181.82,$58.72,026715030958,14.80,3.75,0.64,1.63,,
412101,21-Inch Ductless Under-Cabinet Range Hood with Light in White,1,$199.58,$97.79,026715031009,9.30,2.00,0.64,1.63,,
412123,21-Inch Ductless Under-Cabinet Range Hood with Light in Black,1,$199.58,$97.79,026715187904,9.30,2.00,0.64,1.63,,
412401,24-Inch Ductless Under-Cabinet Range Hood with Light in White,1,$173.00,$50.69,026715008421,10.10,2.24,0.63,1.62,,
412404,24-Inch Ductless Under-Cabinet Range Hood with Light in Stainless Steel,1,$241.06,$78.47,026715008438,10.40,2.25,0.64,1.63,,
413001,30-Inch Ductless Under-Cabinet Range Hood with Light in White,1,$172.66,$49.13,026715002306,11.40,2.75,0.63,1.63,,
413002,30-Inch Ductless Under-Cabinet Range Hood with Light in Bisque,1,$173.00,$49.23,026715142491,11.40,2.75,0.63,1.63,,
413004,30-Inch Ductless Under-Cabinet Range Hood with Light in Stainless Steel,1,$240.28,$77.26,026715004065,11.70,2.75,0.64,1.63,,
413023,30-Inch Ductless Under-Cabinet Range Hood with Light in Black,1,$172.60,$49.11,026715031061,11.40,2.75,0.63,1.63,,
413601,36-Inch Ductless Under-Cabinet Range Hood with Light in White,1,$179.50,$52.59,026715002320,12.60,3.24,0.63,1.63,,
413604,36-Inch Ductless Under-Cabinet Range Hood with Light in Stainless Steel,1,$247.78,$80.66,026715023646,13.20,3.25,0.64,1.63,,
413623,36-Inch Ductless Under-Cabinet Range Hood with Light in Black,1,$179.44,$52.58,026715031078,12.60,3.25,0.64,1.63,,
414201,42-Inch Ductless Under-Cabinet Range Hood with Light in White,1,$184.64,$58.24,026715004119,13.80,3.75,0.64,1.63,,
414204,42-Inch Ductless Under-Cabinet Range Hood with Light in Stainless Steel,1,$256.06,$84.34,026715035830,14.50,3.75,0.64,1.63,,
422401,"24-Inch, White, Under-Cabinet Hood, 190 CFM",1,$159.40,$50.65,026715031108,10.40,2.25,0.64,1.63,,
422404,"24-Inch, Stainless Steel, Under-Cabinet Hood, 190 CFM",1,$228.52,$78.69,026715031115,10.70,2.25,0.64,1.63,,
423001,"30-Inch, White, Under-Cabinet Hood, 190 CFM",1,$158.64,$49.08,026715002269,11.60,2.75,0.63,1.63,,
423002,"30-Inch, Bisque, Under-Cabinet Hood, 190 CFM",1,$158.96,$49.18,026715142460,11.60,2.75,0.64,1.63,,
423004,"30-Inch, Stainless Steel, Under-Cabinet Hood, 190 CFM",1,$227.50,$77.46,026715004140,12.10,2.75,0.64,1.63,,
423023,"30-Inch, Black, Under-Cabinet Hood, 190 CFM",1,$158.58,$49.06,026715031160,11.60,2.75,0.63,1.63,,
423601,"36-Inch, White, Under-Cabinet Hood, 190 CFM",1,$165.36,$52.54,026715002283,12.90,3.24,0.65,1.63,,
423604,"36-Inch, Stainless Steel, Under-Cabinet Hood, 190 CFM",1,$234.82,$80.86,026715004171,13.50,3.25,0.64,1.63,,
423623,"36-Inch, Black, Under-Cabinet Hood, 190 CFM",1,$165.32,$52.53,026715031177,12.90,3.25,0.64,1.63,,
424201,"42-Inch, White, Under-Cabinet Hood, 190 CFM",1,$170.56,$58.19,026715004201,14.10,3.75,0.64,1.63,,
424204,"42-Inch, Stainless Steel, Under-Cabinet Hood, 190 CFM",1,$242.94,$84.55,026715035847,14.90,3.75,0.64,1.63,,
433004,"30-Inch, Stainless Steel, Under-Cabinet Hood, 220 CFM",1,$251.64,$123.30,026715100583,14.20,2.78,0.62,1.61,,
433011,"30-Inch, White, Under-Cabinet Hood, 220 CFM",1,$175.86,$86.17,026715100569,13.80,2.75,0.67,1.63,,
433022,"30-Inch, Bisque-on-Bisque, Under-Cabinet Hood, 220 CFM",1,$175.86,$86.17,026715142347,14.40,2.76,0.64,1.63,,
433023,"30-Inch, Black, Under-Cabinet Hood, 220 CFM",1,$175.86,$86.17,026715145195,13.80,2.77,0.64,1.63,,
433604,"36-Inch, Stainless Steel, Under-Cabinet Hood, 220 CFM",1,$260.30,$127.55,026715100613,15.80,3.26,0.64,1.65,,
433611,"36-Inch, White-on-White, Under-Cabinet Hood, 220 CFM",1,$187.46,$91.86,026715100590,15.80,3.28,0.65,1.65,,
433623,"36-Inch, Black, Under-Cabinet Hood, 220 CFM",1,$187.46,$91.86,026715145201,15.20,3.26,0.65,1.64,,
462401,24-Inch 220 CFM White Under-Cabinet Range Hood,1,$251.46,$123.22,026715145027,12.20,2.25,0.64,1.63,,
462404,24-Inch 220 CFM White Under-Cabinet Range Hood,1,$323.58,$158.55,026715145034,12.60,2.25,0.64,1.63,,
462423,24-Inch 220 CFM Black Under-Cabinet Range Hood,1,$251.46,$123.22,026715145058,12.20,2.25,0.64,1.63,,
463001,30-Inch 220 CFM White Under-Cabinet Range Hood,1,$239.76,$117.48,026715010622,13.40,2.75,0.64,1.63,,
463002,30-Inch 220 CFM Bisque Under-Cabinet Range Hood,1,$239.76,$117.48,026715142422,13.40,2.75,0.64,1.63,,
463004,30-Inch 220 CFM Stainless Steel Under-Cabinet Range Hood,1,$311.86,$152.81,026715002375,13.90,2.75,0.64,1.63,,
463011,30-Inch 220 CFM White-on-White Under-Cabinet Range Hood,1,$239.76,$117.48,026715103959,13.40,2.75,0.67,1.62,,
463023,30-Inch 220 CFM Black Under-Cabinet Range Hood,1,$239.76,$117.48,026715031207,13.40,2.75,0.64,1.63,,
463601,36-Inch 220 CFM White Under-Cabinet Range Hood,1,$251.46,$123.22,026715010615,14.90,3.25,0.64,1.63,,
463604,36-Inch 220 CFM Stainless Steel Under-Cabinet Range Hood,1,$323.58,$158.55,026715002412,15.40,3.25,0.64,1.63,,
463623,36-Inch 220 CFM Black Under-Cabinet Range Hood,1,$251.46,$123.22,026715031221,14.90,3.25,0.64,1.63,,
464201,42-Inch 220 CFM White Under-Cabinet Range Hood,1,$263.24,$128.99,026715002429,16.00,3.75,0.64,1.63,,
464204,42-Inch 220 CFM Stainless Steel Under-Cabinet Range Hood,1,$335.30,$164.30,026715002443,15.40,3.75,0.64,1.63,,
100HL,"Broan 100 CFM Heater/Ventilation Fan/Light, 1500W Heater, 100W Incandescent Light, 2.0 Sones",1,$392.86,$186.16,026715180257,16.70,1.75,1.17,0.88,,
110RDF,"Broan 110 CFM Ventilation Fan Blower Finish Pack with Metal Grille, 4.0 Sones",4,$144.78,$70.94,026715146116,17.60,1.83,1.03,0.99,,
15TCBL,"15"" Compactor Bags, 12 count",16,$30.88,$15.13,026715182565,1.95,0.94,0.75,0.10,,
15TCOD,Odor Control Disc,1,$66.02,$32.35,026715182572,0.60,0.54,0.13,0.56,,
165FT,"Project Pack. Same as 165F, except includes built-in thermostat.",1,$170.56,$83.57,026715030354,6.00,1.25,0.92,0.51,,
1667H,"Broan Housing Pack for 1670F, 1671F, 1688F and 1689F (damper/plastic duct connector included)",6,$12.84,$5.23,026715023264,7.88,1.57,0.68,0.99,,
1667HMTL,"Broan Ventilation Fan Housing Pack for 1670F, 1671F, 1688F and 1689F (damper/metal duct connector included)",6,$29.30,$14.36,026715144570,7.88,1.57,0.68,0.99,,
1670F,"Broan 50 CFM Ventilation Motor Assembly and Grille Finish Pack, 3.5 Sones",6,$70.56,$34.57,026715023271,14.63,1.33,1.13,0.92,,
1671F,"Broan 70 CFM Motor Assembly and Grille Finish Pack, 6.0 Sones",6,$63.66,$25.98,026715023288,15.00,1.33,1.13,0.92,,
1688F,"Broan 50 CFM Motor Assembly and Grille Finish Pack, 4.0 Sones",6,$51.82,$11.70,026715023295,12.75,1.95,0.78,0.83,,
171H,Project Pack Housing Unit. Use with all Comfort-Flo Finish Units.,4,$42.80,$20.97,026715022625,11.00,1.43,1.04,0.84,,
174F,"Project Pack Finish Unit. Use 171H Project pack housing for rough-in. 750/1500W 120VAC, 1125W 208VAC, 1500W 240VAC. White grille.",1,$167.86,$82.25,026715004577,5.10,1.25,0.92,0.51,,
174FT,Project Pack. Same as 174F except includes built-in thermostat.,1,$181.06,$88.72,026715030385,5.10,1.25,0.92,0.51,,
2677H,"Broan Housing Pack for 2678F, 2679F, 2680F, FL2679F, FL2679FT, FL2680F and FL2680FT. Type IC. Mounting ears.",4,$23.26,$9.50,026715139149,9.80,1.69,0.78,1.07,,
2678F,"Broan 50 CFM Ventilation Fan/Light Finish Pack, 2.5 Sones",4,$102.58,$28.63,026715139156,12.80,1.83,0.99,1.03,,
273023C,"Optional Top Cover for Broan 27000/28000 Series Downdraft, in Black",1,$102.56,$50.25,026715054978,1.70,3.03,0.40,0.36,,
273623C,"Optional Top Cover for Broan 27000/28000 Series Downdraft, in Black",1,$102.56,$50.25,026715054961,2.10,4.02,0.54,0.34,,
326N,Existing Home Inlet Kit,1,$84.84,$28.84,784891770159,1.20,0.77,0.77,0.45,,
330ALM,"Inlet cover, 3-1/2w x 5-3/16h x 1/2d in Almond",20,$10.86,$5.32,026715250080,0.25,0.44,0.30,0.15,,
330W,"Inlet cover, 3-1/2w x 5-3/16h x 1/2d in White",20,$10.86,$3.69,784891995088,0.25,0.44,0.30,0.15,,
331H,600 CFM External Blower for use with Select Broan Range Hoods,1,$788.80,$386.51,026715071814,30.00,2.61,0.82,2.33,,
332H,900 CFM External Blower for use with Select Broan Range Hoods,1,"$1,025.06",$502.28,026715071821,32.00,2.61,0.82,2.33,,
332KR,Rough-In Kit for RMIP Insert using Exterior blowers,1,$135.26,$66.28,026715122158,3.30,2.04,0.92,0.22,,
