CAT. NO.,"UPC #
0-92644+",DESCRIPTION,"STD.
PKG.","MIN.
ORDER
QTY.",UNIT,LIST,"Minimum
Advertised
Price (MAP)","BRKN
PKG.
PRICE","STD.
PKG.
PRICE","KleinTools.com
Link",Product #,,
AEPJS3,69243-7,Bluetooth® Jobsite Speaker with Magnet and Hook,4,1,EA,111.94,79.97,67.16,55.97,AEPJS3,AEPJS3,,
AESEB1,69342-7,Bluetooth® Jobsite Earbuds,4,1,EA,97.98,69.97,58.79,48.99,AESEB1,AESEB1,,
BAT20-12T165,29015-2,Battery-Operated 12-Ton Crimper with Case,1,1,EA,"5,349.90","3,076.19",-,"2,674.95",BAT2012T165,BAT2012T165,,
BAT20-12T1651,29016-9,Battery-Operated 12-Ton Crimper Kit,1,1,EA,"5,681.38","3,266.80",-,"2,840.69",BAT2012T1651,BAT2012T1651,,
BAT20-716,29013-8,"7/16-Inch Impact Wrench, Tool Only",1,1,EA,430.10,247.30,-,215.05,BAT20716,BAT20716,,
BAT20-7161,29014-5,7/16-Inch Impact Wrench Kit,1,1,EA,662.96,381.21,-,331.48,BAT207161,BAT207161,,
BAT20-7T,63108-5,"Battery-Operated Cutter/Crimper, Tool Only",1,1,EA,"2,144.16","1,232.89",-,"1,072.08",BAT207T,BAT207T,,
BAT20-7T11,63086-6,"Cutting Jaw, Steel",1,1,EA,891.66,512.70,-,445.83,BAT207T11,BAT207T11,,
BAT20-7T12,63087-3,"Crimping Jaw, Fixed O Die/D3 Groove",1,1,EA,574.86,330.54,-,287.43,BAT207T12,BAT207T12,,
BAT20-7T14,63089-7,"Battery-Operated Cutter/Crimper Kit, 2 Ah",1,1,EA,"6,430.38","3,697.46",-,"3,215.19",BAT207T14,BAT207T14,,
BAT20-G4,63126-9,"Replacement Blades, ACSR Closed-Jaw Cutter",1,1,EA,"1,090.96",627.30,-,545.48,BAT20G4,BAT20G4,,
BAT20-G5,63127-6,"Replacement Blades, ACSR Open-Jaw Cutter",1,1,EA,"1,367.90",786.54,-,683.95,BAT20G5,BAT20G5,,
BAT20-G8,63128-3,"Replacement Blades, Cu/Al Closed-Jaw Cutter",1,1,EA,902.14,518.73,-,451.07,BAT20G8,BAT20G8,,
BAT20-G9,63129-0,"Replacement Blades, Cu/Al Open-Jaw Cutter",1,1,EA,"1,296.56",745.52,-,648.28,BAT20G9,BAT20G9,,
BAT207T1,63008-8,"Battery-Operated Crimper, BG Die/D3 Groove, 2 Ah",1,1,EA,"3,098.74","1,781.78",-,"1,549.37",BAT207T1,BAT207T1,,
BAT207T10,63027-9,"Cutting Jaw, ACSR",1,1,EA,849.68,488.57,-,424.84,BAT207T10,BAT207T10,,
BAT207T13,63088-0,"Battery-Operated Cutter/Crimper, No Heads, 2 Ah",1,1,EA,"2,280.52","1,311.30",-,"1,140.26",BAT207T13,BAT207T13,,
BAT207T134H,29104-3,"Battery-Operated Cutter/Crimper, No Heads, 4 Ah",1,1,EA,"2,385.42","1,371.62",-,"1,192.71",BAT207T134H,BAT207T134H,,
BAT207T144H,29105-0,"Battery-Operated Cutter/Crimper Kit, 4 Ah",1,1,EA,"6,535.26","3,757.78",-,"3,267.63",BAT207T144H,BAT207T144H,,
BAT207T14H,29109-8,"Battery-Operated Crimper, BG Die/D3 Groove, 4 Ah",1,1,EA,"3,203.64","1,842.10",-,"1,601.82",BAT207T14H,BAT207T14H,,
BAT207T16,63134-4,"Replacement Blade, Cu/Al Cutting Head",1,1,EA,415.40,238.86,-,207.70,BAT207T16,BAT207T16,,
BAT207T17,63135-1,"Replacement Blade, ACSR Cutting Head",1,1,EA,514.02,295.56,-,257.01,BAT207T17,BAT207T17,,
BAT207T18,63138-2,"Replacement Blade, Steel Cutting Head",1,1,EA,451.08,259.37,-,225.54,BAT207T18,BAT207T18,,
BAT207T2,63009-5,"Battery-Operated Crimper, D3 Groove, 2 Ah",1,1,EA,"3,098.74","1,781.78",-,"1,549.37",BAT207T2,BAT207T2,,
BAT207T23,63147-4,"Battery-Operated Crimper, O+ Die Head, 2 Ah",1,1,EA,"3,098.74","1,781.78",-,"1,549.37",BAT207T23,BAT207T23,,
BAT207T234H,29111-1,"Battery-Operated Crimper, O+ Die Head, 4 Ah",1,1,EA,"3,203.64","1,842.10",-,"1,601.82",BAT207T234H,BAT207T234H,,
BAT207T24H,29110-4,"Battery-Operated Crimper, D3 Groove, 4 Ah",1,1,EA,"3,203.64","1,842.10",-,"1,601.82",BAT207T24H,BAT207T24H,,
BAT207T3,63010-1,"Battery-Operated Cutter, Cu/Al, 2 Ah",1,1,EA,"2,779.86","1,598.41",-,"1,389.93",BAT207T3,BAT207T3,,
BAT207T34H,29106-7,"Battery-Operated Cutter, Cu/Al, 4 Ah",1,1,EA,"2,884.76","1,658.73",-,"1,442.38",BAT207T34H,BAT207T34H,,
BAT207T4,63011-8,"Battery-Operated Cutter, ACSR, 2 Ah",1,1,EA,"3,021.12","1,737.14",-,"1,510.56",BAT207T4,BAT207T4,,
BAT207T44H,29107-4,"Battery-Operated Cutter, ACSR, 4 Ah",1,1,EA,"3,126.02","1,797.46",-,"1,563.01",BAT207T44H,BAT207T44H,,
BAT207T4H,63198-6,"Battery-Op Cut/Crimper, BG Die/D3 Groove/ACSR/EHS",1,1,EA,"4,944.98","2,843.37",-,"2,472.49",BAT207T4H,BAT207T4H,,
BAT207T5,63015-6,"Battery-Operated Bolt Cutter, Steel, 2 Ah",1,1,EA,"3,279.18","1,885.53",-,"1,639.59",BAT207T5,BAT207T5,,
BAT207T54H,29108-1,"Battery-Operated Bolt Cutter, Steel, 4 Ah",1,1,EA,"3,384.08","1,945.84",-,"1,692.04",BAT207T54H,BAT207T54H,,
BAT207T6,63023-1,"Crimping Jaw, Fixed BG Die/D3 Groove",1,1,EA,574.86,330.54,-,287.43,BAT207T6,BAT207T6,,
BAT207T7,63024-8,"Crimping Jaw, D3 Groove",1,1,EA,574.86,330.54,-,287.43,BAT207T7,BAT207T7,,
BAT207T9,63026-2,"Cutting Jaw, Cu/Al",1,1,EA,723.82,416.19,-,361.91,BAT207T9,BAT207T9,,
BAT20CD,63210-5,"Battery-Operated Compact Impact Driver, 1/4-Inch Hex Drive, Tool Only",1,1,EA,291.62,167.68,-,145.81,BAT20CD,BAT20CD,,
BAT20CD1,63211-2,"Battery-Operated Compact Impact Driver, 1/4-Inch Hex Drive, Full Kit",1,1,EA,543.38,312.44,-,271.69,BAT20CD1,BAT20CD1,,
BAT20CTCLIP,29032-9,Belt Clip for Impact Wrench and Drill (Cat. Nos. BAT20CW and BAT20CD),1,1,EA,8.38,4.81,-,4.19,BAT20CTCLIP,BAT20CTCLIP,,
BAT20CW,61017-2,"Battery-Operated Compact Impact Wrench, 1/2-Inch Detent Pin, Tool Only",1,1,EA,291.62,167.68,-,145.81,BAT20CW,BAT20CW,,
BAT20CW1,61018-9,"Battery-Operated Compact Impact Wrench, 1/2-Inch Detent Pin, Full Kit",1,1,EA,543.38,312.44,-,271.69,BAT20CW1,BAT20CW1,,
BAT20GD1,63194-8,"Battery-Operated EHS Closed-Jaw Cutter, 2 Ah",1,1,EA,"2,863.78","1,646.67",-,"1,431.89",BAT20GD1,BAT20GD1,,
BAT20GD10,63195-5,"Battery-Operated Cu/Al Closed-Jaw Cutter, 2 Ah",1,1,EA,"2,332.98","1,341.46",-,"1,166.49",BAT20GD10,BAT20GD10,,
BAT20GD14H,63202-0,"Battery-Operated EHS Closed-Jaw Cutter, 4 Ah",1,1,EA,"3,073.56","1,767.30",-,"1,536.78",BAT20GD14H,BAT20GD14H,,
BAT20GD4BAC,29124-1,Replacement Blades for Cu / Al Closed-Jaw Cutter,1,1,EA,367.16,211.11,-,183.58,BAT20GD4BAC,BAT20GD4BAC,,
BAT20GD4BEHS,29123-4,Replacement Blades for EHS Closed-Jaw Cutter,1,1,EA,409.10,235.24,-,204.55,BAT20GD4BEHS,BAT20GD4BEHS,,
BAT20LW,29117-3,"90-Degree Impact Wrench, Tool Only",1,1,EA,942.00,541.65,-,471.00,BAT20LW,BAT20LW,,
BAT20LW1,29118-0,90-Degree Impact Wrench Kit,1,1,EA,"1,235.72",710.54,-,617.86,BAT20LW1,BAT20LW1,,
BAT20LWA,65118-2,7/16-Inch Adapter for 90-Degree Impact Wrench,1,1,EA,92.32,55.59,-,46.16,BAT20LWA,BAT20LWA,,
BAT20LWS,29031-2,Replacement Socket for 90-Degree Impact Wrench,1,1,EA,71.34,41.02,-,35.67,BAT20LWS,BAT20LWS,,
BAT20UBL,29033-6,Cordless Utility LED Light (Tool Only),1,1,EA,409.54,245.73,-,204.77,BAT20UBL,BAT20UBL,,
BAT20UBL1,29034-3,Cordless Utility LED Light Kit,1,1,EA,821.14,492.69,-,410.57,BAT20UBL1,BAT20UBL1,,
BC311,88013-1,2-Inch Utility Bucket S-Hook,1,1,EA,15.98,9.99,-,7.99,BC311,BC311,,
BC312,88014-8,3-Inch Utility Bucket S-Hook,1,1,EA,17.98,10.99,-,8.99,BC312,BC312,,
BC501S,88006-3,"Hard Tool Storage Module, S-Hook",1,1,EA,300.00,189.00,-,150.00,BC501S,BC501S,,
BC502S,88007-0,"Tool Apron Storage Module, S-Hook",1,1,EA,300.00,189.00,-,150.00,BC502S,BC502S,,
BC504S,88008-7,"Magnetic Tool Storage Module, S-Hook",12,1,EA,126.00,79.99,75.60,63.00,BC504S,BC504S,,
BC507S,88009-4,"Auger Bit Storage Module, S-Hook",6,1,EA,126.00,79.99,75.60,63.00,BC507S,BC507S,,
BC508S,88010-0,"Utility Bar Storage Module, S-Hook",8,1,EA,160.00,99.99,96.00,80.00,BC508S,BC508S,,
BC509S,88011-7,"Socket Storage Module, S-Hook",6,1,EA,140.00,89.99,84.00,70.00,BC509S,BC509S,,
BD111,32042-2,"#1 Profilated Phillips Screwdriver, 3-Inch Shank",6,1,EA,10.68,6.99,6.41,5.34,BD111,BD111,,
BD122,32044-6,Profilated #2 Phillips Screwdriver 4-Inch,6,1,EA,12.10,7.99,7.26,6.05,BD122,BD122,,
BD133,32047-7,Profilated #3 Phillips Screwdriver 6-Inch,6,1,EA,16.70,10.99,10.02,8.35,BD133,BD133,,
BD144,32049-1,1/4-Inch Keystone Tip Screwdriver 4-Inch Shank,6,1,EA,12.10,7.99,7.26,6.05,BD144,BD144,,
BD146,32051-4,1/4-Inch Keystone Tip Screwdriver 6-Inch Shank,6,1,EA,13.64,8.99,8.18,6.82,BD146,BD146,,
BD156,32053-8,"5/16-Inch Keystone Screwdriver, Plastic Handle, 6-Inch",6,1,EA,15.12,9.99,9.07,7.56,BD156,BD156,,
BD284,32056-9,1/4-Inch Keystone Screwdriver 4-Inch Square Shank,6,1,EA,13.58,8.99,8.15,6.79,BD284,BD284,,
BD306,32059-0,5/16-Inch Keystone Screwdriver 6-Inch Shank,6,1,EA,16.70,10.99,10.02,8.35,BD306,BD306,,
BD308,32060-6,"5/16-Inch Keystone Screwdriver, 8-Inch Shank",6,1,EA,18.16,11.99,10.90,9.08,BD308,BD308,,
BD408,32066-8,"3/8-Inch Keystone Tip Screwdriver, Plastic Handle, 8-Inch",6,1,EA,21.24,13.99,12.74,10.62,BD408,BD408,,
BD410,32067-5,3/8-Inch Keystone Screwdriver 10-Inch Shank,6,1,EA,24.24,15.99,14.54,12.12,BD410,BD410,,
BD412,32070-5,3/8-Inch Keystone Screwdriver 12-Inch Shank,6,1,EA,27.26,17.99,16.36,13.63,BD412,BD412,,
BL10,33023-0,"5/32-Inch Hex Key, L-Style Ball End",5,5,EA,3.10,2.19,-,1.55,BL10,BL10,,
BL12,33024-7,"L-Style Ball-End Hex Key, 3/16-Inch",5,5,EA,3.22,2.29,-,1.61,BL12,BL12,,
BL14,33025-4,"7/32-Inch Hex Key, L-Style Ball-End",5,5,EA,3.48,2.49,-,1.74,BL14,BL14,,
BL16,33026-1,"1/4-Inch Hex Key, L-Style Ball-End",5,5,EA,4.74,3.49,-,2.37,BL16,BL16,,
BL2,33027-8,".05-Inch Hex Key, L-Style Ball-End",5,5,EA,3.10,2.19,-,1.55,BL2,BL2,,
BL20,33028-5,5/16-Inch Hex Key with L-Style Ball End,5,5,EA,6.30,4.49,-,3.15,BL20,BL20,,
BL24,33029-2,L-Style Ball-End Hex Key 3/8-Inch,5,5,EA,7.72,5.49,-,3.86,BL24,BL24,,
BL4,33033-9,"L-Style Ball-End Hex Key, 1/16-Inch",5,5,EA,3.10,2.19,-,1.55,BL4,BL4,,
BL5,33036-0,"L-Style Ball-End Hex Key, 5/64-Inch",5,5,EA,3.10,2.19,-,1.55,BL5,BL5,,
BL6,33037-7,"3/32-Inch Hex Key, L-Style Ball-End",5,5,EA,3.10,2.19,-,1.55,BL6,BL6,,
BL7,33038-4,"7/64-Inch Hex Key, L-Style Ball-End",5,5,EA,3.10,2.19,-,1.55,BL7,BL7,,
BL8,33039-1,"1/8-Inch Hex Key, L-Style Ball-End",5,5,EA,3.10,2.19,-,1.55,BL8,BL8,,
BL9,33040-7,L-Style Ball-End Hex Key 9/64-Inch,5,5,EA,3.10,2.19,-,1.55,BL9,BL9,,
BLK12,33204-3,L Style Ball End Hex Key Caddy Set 12-Piece,3,1,EA,35.12,24.99,21.07,17.56,BLK12,BLK12,,
BLM10,33009-4,L-Style Ball-End Hex Key 10 mm,5,5,EA,10.60,7.49,-,5.30,BLM10,BLM10,,
BLM15,33013-1,L-Style Ball-End Hex Key 1.5 mm,5,5,EA,3.10,2.19,-,1.55,BLM15,BLM15,,
BLM2,33016-2,L-Style Ball-End Hex Key 2 mm,5,5,EA,3.10,2.19,-,1.55,BLM2,BLM2,,
BLM25,33017-9,L-Style Ball-End Hex Key 2.5 mm,5,5,EA,3.10,2.19,-,1.55,BLM25,BLM25,,
BLM3,33018-6,L-Style Ball-End Hex Key 3 mm,5,5,EA,3.10,2.19,-,1.55,BLM3,BLM3,,
BLM4,33019-3,L-Style Ball-End Hex Key 4 mm,5,5,EA,3.10,2.19,-,1.55,BLM4,BLM4,,
BLM5,33020-9,L-Style Ball-End Hex Key 5 mm,5,5,EA,3.38,2.39,-,1.69,BLM5,BLM5,,
BLM6,33021-6,L-Style Ball-End Hex Key 6 mm,5,5,EA,4.88,3.49,-,2.44,BLM6,BLM6,,
BLM8,33022-3,L-Style Ball-End Hex Key 8 mm,5,5,EA,7.02,4.99,-,3.51,BLM8,BLM8,,
BLMK10,33206-7,L Style Ball End Hex Key Caddy Set Metric 9-Piece,3,1,EA,32.22,22.99,19.33,16.11,BLMK10,BLMK10,,
C718,32093-4,"3/8-Inch Keystone Tip Screwdriver, 18-Inch Shank",6,1,EA,37.86,24.99,22.72,18.93,C718,C718,,
CL120,69283-3,"Digital Clamp Meter, AC Auto-Ranging 400 Amp",1,1,EA,85.26,59.97,-,42.63,CL120,CL120,,
CL120KIT,69284-0,Clamp Meter Electrical Test Kit,1,1,EA,92.60,69.97,-,46.30,CL120KIT,CL120KIT,,
CL120VP,69341-0,Clamp Meter Electrical Test Kit,1,1,EA,115.18,81.99,-,57.59,CL120VP,CL120VP,,
CL150,69099-0,"Clamp Meter, Digital AC Electrical Tester with 18-Inch Flexible Clamp",1,1,EA,135.28,92.99,-,67.64,CL150,CL150,,
CL220,69285-7,"Digital Clamp Meter, AC Auto-Ranging 400 Amp with Temp",1,1,EA,87.90,65.97,-,43.95,CL220,CL220,,
CL312,69137-9,"Clamp Meter, HVAC Digital AC Auto-Ranging Tester, 400 Amp with Temp",1,1,EA,99.94,74.99,-,49.97,CL312,CL312,,
CL320,69286-4,"HVAC Digital Clamp Meter, AC Auto-Ranging 400 Amp",1,1,EA,112.68,81.99,-,56.34,CL320,CL320,,
CL320KIT,69349-6,HVAC Electrical Test Kit,1,1,EA,170.54,118.99,-,85.27,CL320KIT,CL320KIT,,
CL360,69114-0,"Electrical Tester, Open Jaw Fork Meter, AC Auto-Ranging, 200 Amp",1,1,EA,121.12,79.99,-,60.56,CL360,CL360,,
CL390,69287-1,"AC/DC Digital Clamp Meter, Auto-Ranging 400 Amp",1,1,EA,133.30,99.97,-,66.65,CL390,CL390,,
CL440,69335-9,HVAC Clamp Meter,1,1,EA,158.60,113.99,-,79.30,CL440,CL440,,
CL600,69014-3,"Digital Clamp Meter, True RMS, AC Auto-Ranging, 600 Amps",1,1,EA,109.94,79.97,-,54.97,CL600,CL600,,
CL700,69015-0,"Digital Clamp Meter, AC Auto-Ranging TRMS, Low Impedance (LoZ) Mode",1,1,EA,153.94,109.97,-,76.97,CL700,CL700,,
CL800,69016-7,"Digital Clamp Meter, AC Auto-Range TRMS, Low Impedance (LoZ), Auto Off",1,1,EA,187.50,129.97,-,93.75,CL800,CL800,,
CL900,69235-2,"Digital Clamp Meter, AC Auto-Range TRMS, Low Impedance (LoZ), 2000 Amp",1,1,EA,241.94,164.99,-,120.97,CL900,CL900,,
CLMBRSPN,60167-5,Safety Helmet Suspension,1,1,EA,18.42,12.99,-,9.21,CLMBRSPN,CLMBRSPN,,
CLMBRSTRP,60168-2,Safety Helmet Chin Strap,1,1,EA,19.98,13.99,-,9.99,CLMBRSTRP,CLMBRSTRP,,
CN1907AR,52022-8,"Tree Climber Set 2-3/4-Inch Gaffs, 15 to 19-Inch",1,1,PR,485.50,279.16,-,242.75,CN1907AR,CN1907AR,,
CN1907ARL,52025-9,Tree Climber Set 2-3/4-Inch Gaffs 17 to 21-Inch,1,1,PR,504.24,289.93,-,252.12,CN1907ARL,CN1907ARL,,
CN1972AR,52039-6,"Pole Climbers with 1-1/2-Inch Gaffs, Complete Set",1,1,PR,503.54,289.53,-,251.77,CN1972AR,CN1972AR,,
CN1972ARL,52042-6,"Pole Climber Set, Gaffs 17-Inch to 21-Inch",1,1,PR,507.64,291.90,-,253.82,CN1972ARL,CN1972ARL,,
CN1986AR,52051-8,Pole Climbers with 1-9/16-Inch Gaffs-Complete Set,1,1,PR,506.00,290.95,-,253.00,CN1986AR,CN1986AR,,
CN1986ARL,52054-9,"Pole Climbers with 1-9/16-Inch Gaffs, Complete Set",1,1,PR,507.64,291.90,-,253.82,CN1986ARL,CN1986ARL,,
D2000-28,72092-5,"Diagonal Cutting Pliers, Heavy-Duty, High-Leverage, 8-Inch",6,1,EA,53.00,34.99,31.80,26.50,D200028,D200028,,
D2000-28-INS,72093-2,"Diagonal Cutting Pliers, Insulated, Heavy-Duty, 8-Inch",3,1,EA,90.90,59.99,54.54,45.45,D200028INS,D200028INS,,
D2000-48,72097-0,"Diagonal Cutting Pliers, Angled Head, 8-Inch",6,1,EA,49.78,34.97,29.87,24.89,D200048,D200048,,
D2000-48-INS,72098-7,"Diagonal Cutting Pliers, Insulated, Heavy-Duty, Angled Head, 8-Inch",3,1,EA,106.04,69.99,63.62,53.02,D200048INS,D200048INS,,
D2000-49,72249-3,"Diagonal Cutting Pliers, Angled Head, 9-Inch",6,1,EA,57.56,37.99,34.54,28.78,D200049,D200049,,
D2000-7,70073-6,"Lineman's Pliers, Heavy-Duty Side Cutting, 7-Inch",6,1,EA,68.18,44.99,40.91,34.09,D20007,D20007,,
D2000-7CST,70378-2,Ironworker's Pliers Heavy-Duty Cutting,6,1,EA,75.98,46.99,45.59,37.99,D20007CST,D20007CST,,
D2000-8,70079-8,"Lineman's Pliers, Heavy-Duty Side Cutting, 8-Inch",6,1,EA,59.08,38.99,35.45,29.54,D20008,D20008,,
D2000-9NE,70082-8,"Lineman's Pliers, 9-Inch",6,1,EA,62.04,39.99,37.22,31.02,D20009NE,D20009NE,,
D2000-9NE-INS,70085-9,"Insulated Lineman's Pliers, 9-Inch",3,1,EA,120.38,78.99,72.23,60.19,D20009NEINS,D20009NEINS,,
D2000-9NECR,70083-5,"Lineman's Pliers with Crimping, 9-Inch",6,1,EA,75.74,49.99,45.44,37.87,D20009NECR,D20009NECR,,
D2000-9NETH,70100-9,"Lineman's Pliers, Bolt Thread-Holding",6,1,EA,68.16,44.99,40.90,34.08,D20009NETH,D20009NETH,,
D2000-9NETP,70090-3,"Lineman's Pliers, Fish Tape Pulling, 9-Inch",6,1,EA,68.16,44.99,40.90,34.08,D20009NETP,D20009NETP,,
D2000-9ST,70382-9,"Ironworker's Pliers, Heavy-Duty Cutting, 9-Inch",6,1,EA,80.30,52.99,48.18,40.15,D20009ST,D20009ST,,
D200028GLW,38004-4,"Diagonal Cutting Pliers, High-Visibility, 8-Inch",4,1,EA,56.78,37.49,34.07,28.39,D200028GLW,D200028GLW,,
D20009NEGLW,38003-7,High-Visibility Side-Cutting Pliers High-Leverage,4,1,EA,68.16,44.97,40.90,34.08,D20009NEGLW,D20009NEGLW,,
D201-7CST,70302-7,"Ironworker's Pliers, 9-Inch with Spring",6,1,EA,60.58,39.99,36.35,30.29,D2017CST,D2017CST,,
D201-7CSTA,70301-0,"Ironworker's Pliers, Aggressive Knurl, 9-Inch",6,1,EA,61.66,43.95,37.00,30.83,D2017CSTA,D2017CSTA,,
D201-7CSTLFT,70309-6,"Ironworker's Rebar Pliers, Left Handed, Spring Loaded, 9-Inch",6,1,EA,59.66,39.99,35.80,29.83,D2017CSTLFT,D2017CSTLFT,,
D201-7CSTT,70102-3,Ironworker's Pliers with Tether Ring,6,1,EA,75.74,49.99,45.44,37.87,D2017CSTT,D2017CSTT,,
D201-7NE,70008-8,"Lineman's Pliers, New England Nose, 7-Inch",6,1,EA,54.28,35.99,32.57,27.14,D2017NE,D2017NE,,
D201-8,70013-2,"Lineman's Pliers, 8-Inch",6,1,EA,59.00,38.99,35.40,29.50,D2018,D2018,,
D201-8NE,70016-3,"Lineman's Pliers, Side Cutters with New England Nose, 8-Inch",6,1,EA,54.28,35.99,32.57,27.14,D2018NE,D2018NE,,
D202-6,72010-9,"Diagonal Cutting Pliers, Tapered Nose, 6-Inch",6,1,EA,46.94,30.99,28.16,23.47,D2026,D2026,,
D202-6C,72012-3,"Diagonal Cutting Pliers, Tapered Nose, Spring-Loaded, 6-Inch",6,1,EA,48.48,31.99,29.09,24.24,D2026C,D2026C,,
D203-6,71016-2,"Pliers, Needle Nose Side-Cutters, 6-Inch",6,1,EA,37.82,24.97,22.69,18.91,D2036,D2036,,
D203-6-INS,71017-9,"Long Nose Pliers, Insulated, 6-Inch",3,1,EA,72.70,47.99,43.62,36.35,D2036INS,D2036INS,,
D203-6C,71018-6,"Pliers, Needle Nose Side-Cutters with Spring, 6-Inch",6,1,EA,39.38,25.99,23.63,19.69,D2036C,D2036C,,
D203-6H2,71020-9,"Pliers, Needle Nose Side-Cutters, Stripping, 6-Inch",6,1,EA,46.94,30.99,28.16,23.47,D2036H2,D2036H2,,
D203-7,71024-7,"Pliers, Needle Nose Side-Cutters, 7-Inch",6,1,EA,36.18,24.97,21.71,18.09,D2037,D2037,,
D203-7-INS,71025-4,"Pliers, Long Nose Side-Cutters, Insulated, 7-Inch",3,1,EA,75.74,49.99,45.44,37.87,D2037INS,D2037INS,,
D203-7C,71026-1,"Pliers, Needle Nose Side-Cutters with Spring, 7-Inch",6,1,EA,40.80,26.99,24.48,20.40,D2037C,D2037C,,
D203-8,71028-5,"Pliers, Needle Nose Side-Cutters, 8-Inch",6,1,EA,44.84,29.97,26.90,22.42,D2038,D2038,,
D203-8-GLW,71004-9,"Pliers, Needle Nose Side-Cutters, High-Visibility, 8-Inch",4,1,EA,53.00,34.99,31.80,26.50,D2038GLW,D2038GLW,,
D203-8-INS,71029-2,"Long Nose Pliers, Insulated, 8-Inch",3,1,EA,90.90,59.99,54.54,45.45,D2038INS,D2038INS,,
D203-8N,71032-2,"Pliers, Needle Nose Side Cutters with Stripping, 8-Inch",6,1,EA,45.40,29.97,27.24,22.70,D2038N,D2038N,,
D203-8N-INS,71033-9,"Insulated Long Nose Pliers, Side-Cutting/Stripping",3,1,EA,90.86,59.97,54.52,45.43,D2038NINS,D2038NINS,,
D203-8NCR,71034-6,"Pliers, Needle Nose Side Cutters with Stripping and Crimping, 8-Inch",6,1,EA,60.58,39.99,36.35,30.29,D2038NCR,D2038NCR,,
D209-4C,72200-4,"Diagonal Cutting Pliers, Electronics Pliers with Pointed Nose, 4-Inch",6,1,EA,51.52,33.99,30.91,25.76,D2094C,D2094C,,
D209-5C,72202-8,"Diagonal Cutting Pliers, Electronics Pliers with Pointed Nose, 5-Inch",6,1,EA,51.48,33.99,30.89,25.74,D2095C,D2095C,,
D210-6C,72206-6,"Diagonal Cutting Pliers, Semi-Flush, 6-Inch",6,1,EA,62.12,40.99,37.27,31.06,D2106C,D2106C,,
D213-8NE,70032-3,"Lineman's Pliers, High-Leverage, 8-Inch",6,1,EA,41.96,29.99,25.18,20.98,D2138NE,D2138NE,,
D213-9,70038-5,"Lineman's Square Nose Pliers, 9-Inch",6,1,EA,56.04,36.99,33.62,28.02,D2139,D2139,,
D213-9NE,70042-2,"Lineman's Pliers, New England Nose, 9-Inch",6,1,EA,50.12,34.97,30.07,25.06,D2139NE,D2139NE,,
D213-9NE-CR,70046-0,"Lineman's Crimping Pliers, 9-Inch",6,1,EA,59.02,39.97,35.41,29.51,D2139NECR,D2139NECR,,
