"GREAVES 2022.1 PRICE SCHEDULE Effective January 1, 2022",,,,,,,,
Orders less than $100 incur a $15 Small Order Fee.  Ground freight free to contiguous 48 states.,,,,,,,,
Catalog,Distrib Net,,,    Ctn ,  Trade List,, NAED # ,2021
Number,$/ea,,Description Category,Qty,$/ea,Mult,784491,Cat Page
SC10                     ,3.3950,,CU COMPR SPLICE,50,6.7899,0.50,51810,22
SC1000                   ,21.7226,,CU COMPR SPLICE,3,43.4452,0.50,51832,22
SC111FX                  ,4.8182,,CU FLEX SPLICE,1,7.4126,0.65,32153,32
SC131FX                  ,5.6698,,CU FLEX SPLICE,1,8.7227,0.65,32154,32
SC181FX                  ,5.9874,,CU FLEX SPLICE,1,9.2114,0.65,32155,32
SC2                      ,2.6057,,CU COMPR SPLICE,50,5.2113,0.50,51802,22
SC20                     ,3.6589,,CU COMPR SPLICE,25,7.3177,0.50,51812,22
SC222FX                  ,6.9003,,CU FLEX SPLICE,1,10.6159,0.65,32156,32
SC250                    ,5.2398,,CU COMPR SPLICE,25,10.4795,0.50,51818,22
SC262FX                  ,7.8877,,CU FLEX SPLICE,1,12.1349,0.65,32157,32
SC30                     ,4.3056,,CU COMPR SPLICE,25,8.6111,0.50,51814,22
SC300                    ,5.8147,,CU COMPR SPLICE,12,11.6293,0.50,51820,22
SC313FX                  ,8.2597,,CU FLEX SPLICE,1,12.7073,0.65,32158,32
SC350                    ,6.0889,,CU COMPR SPLICE,12,12.1778,0.50,51822,22
SC373FX                  ,12.0548,,CU FLEX SPLICE,1,18.5458,0.65,32161,32
SC4                      ,2.1871,,CU COMPR SPLICE,100,4.3741,0.50,51804,22
SC40                     ,4.5497,,CU COMPR SPLICE,25,9.0994,0.50,51816,22
SC400                    ,7.3506,,CU COMPR SPLICE,6,14.7011,0.50,51824,22
SC444FX                  ,18.5286,,CU FLEX SPLICE,1,28.5055,0.65,32159,32
SC500                    ,8.8865,,CU COMPR SPLICE,6,17.7730,0.50,51826,22
SC50FX                   ,3.4312,,CU FLEX SPLICE,1,5.2788,0.65,32150,32
SC535FX                  ,18.6480,,CU FLEX SPLICE,1,28.6892,0.65,32160,32
SC6                      ,1.7811,,CU COMPR SPLICE,100,3.5622,0.50,51806,22
SC600                    ,13.6589,,CU COMPR SPLICE,6,27.3178,0.50,51828,22
SC60FX                   ,4.1126,,CU FLEX SPLICE,1,6.3271,0.65,32151,32
SC646FX                  ,27.6151,,CU FLEX SPLICE,1,42.4848,0.65,32162,32
SC750                    ,16.1000,,CU COMPR SPLICE,3,32.1999,0.50,51830,22
SC8                      ,1.2156,,CU COMPR SPLICE,100,2.4312,0.50,51808,22
SC90FX                   ,4.4709,,CU FLEX SPLICE,1,6.8783,0.65,32152,32
SEH1-22                  ,2.0458,,AL H-TAP,20,3.1474,0.65,15312,52
SEH2-201                 ,2.1624,,AL H-TAP,20,3.3267,0.65,15322,52
SEH3-301                 ,2.3531,,AL H-TAP,10,3.6202,0.65,15333,52
SEH4-3020                ,2.4060,,AL H-TAP,10,3.7015,0.65,15343,52
SEH5-401                 ,2.8182,,AL H-TAP,10,4.3357,0.65,15354,52
SEH6-4020                ,2.9295,,AL H-TAP,10,4.5069,0.65,15364,52
SEH7-4040                ,2.8552,,AL H-TAP,10,4.3926,0.65,15374,52
SEN101                   ,1.7115,,AL COMPR SPLICE NYL,25,2.6330,0.65,15410,53
SEN1010,1.7115,,AL COMPR SPLICE NYL,25,2.6330,0.65,15409,53
SEN11                    ,1.7115,,AL COMPR SPLICE NYL,50,2.6330,0.65,15411,53
SEN14                    ,1.7115,,AL COMPR SPLICE NYL,50,2.6330,0.65,15414,53
SEN16                    ,1.7115,,AL COMPR SPLICE NYL,50,2.6330,0.65,15416,53
SEN2020                  ,5.8406,,AL COMPR SPLICE NYL,25,8.9855,0.65,15422,53
SEN204                   ,7.0538,,AL COMPR SPLICE NYL,25,10.8520,0.65,15420,53
SEN304                   ,14.0980,,AL COMPR SPLICE NYL,25,21.6892,0.65,15430,53
SEN401                   ,5.8406,,AL COMPR SPLICE NYL,10,8.9855,0.65,15441,53
SEN4020                  ,6.0951,,AL COMPR SPLICE NYL,10,9.3770,0.65,15442,53
SEN404                   ,13.3491,,AL COMPR SPLICE NYL,10,20.5370,0.65,15440,53
SEN4040                  ,5.8406,,AL COMPR SPLICE NYL,10,8.9855,0.65,15445,53
SEN44                    ,1.7115,,AL COMPR SPLICE NYL,50,2.6330,0.65,15444,53
SEN46                    ,1.7134,,AL COMPR SPLICE NYL,50,2.6360,0.65,15446,53
SEN66                    ,1.7115,,AL COMPR SPLICE NYL,50,2.6330,0.65,15466,53
SFW 0,0.2862,,BRONZE FLAT WASHER,100,0.4088,0.70,71780,125
SFW 1,1.4914,,BRONZE FLAT WASHER,25,2.1306,0.70,71800,125
SFW 3,1.1542,,BRONZE FLAT WASHER,50,1.6489,0.70,71795,125
SFW 6,0.4654,,BRONZE FLAT WASHER,50,0.6648,0.70,71790,125
SFW 8,0.3340,,BRONZE FLAT WASHER,50,0.4772,0.70,71785,125
SL1000N                  ,65.7926,,CU STACKING LUG,1,90.1268,0.73,71812,25
SL20N                    ,10.8920,,CU STACKING LUG,1,14.9206,0.73,71801,25
SL250N                   ,14.1356,,CU STACKING LUG,1,19.3639,0.73,71804,25
SL300N                   ,16.4582,,CU STACKING LUG,1,22.5455,0.73,71805,25
SL30N                    ,11.5728,,CU STACKING LUG,1,15.8531,0.73,71802,25
SL350N                   ,18.2201,,CU STACKING LUG,1,24.9591,0.73,71806,25
SL400N                   ,20.1422,,CU STACKING LUG,1,27.5921,0.73,71807,25
SL40N                    ,12.7741,,CU STACKING LUG,1,17.4988,0.73,71803,25
SL500N                   ,24.2667,,CU STACKING LUG,1,33.2421,0.73,71808,25
SL600N                   ,31.0743,,CU STACKING LUG,1,42.5675,0.73,71809,25
SL750N                   ,36.1599,,CU STACKING LUG,1,49.5341,0.73,71811,25
SLW 0,0.1582,,BRONZE LOCK WASHER,100,0.2260,0.70,71810,125
SLW 1,1.5037,,BRONZE LOCK WASHER,25,2.1481,0.70,71830,125
SLW 3,0.8908,,BRONZE LOCK WASHER,50,1.2726,0.70,71825,125
SLW 6,0.3602,,BRONZE LOCK WASHER,50,0.5145,0.70,71820,125
SLW 8,0.2565,,BRONZE LOCK WASHER,50,0.3664,0.70,71815,125
SN 0,0.2097,,BRONZE NUT,100,0.2996,0.70,71750,125
SN 1,2.4898,,BRONZE NUT,25,3.5568,0.70,71770,125
SN 3,1.0791,,BRONZE NUT,50,1.5415,0.70,71765,125
SN 6,0.5422,,BRONZE NUT,50,0.7745,0.70,71760,125
SN 8,0.3739,,BRONZE NUT,50,0.5342,0.70,71755,125
SP14                     ,0.1140,,SNAP PLUG MALE,50,0.2533,0.45,70050,15
SP14V                    ,0.1720,,SNAP PLUG MALE,50,0.3822,0.45,70051,15
SPD-CL                   ,3.3948,,SPD COVER L,4,5.6580,0.60,82993,57
SPD-CM                   ,2.5488,,SPD COVER M,6,4.2480,0.60,82992,57
SPD-CS                   ,1.5894,,SPD COVER S,6,2.6490,0.60,82991,57
SPD-I1-I1                ,6.7128,,SIDE STACKER,6 or 24,11.1880,0.60,82201,56
SPD-K1-H4                ,8.6724,,SIDE STACKER,6 or 24,14.4540,0.60,82304,56
SPD-K1-H6                ,11.8296,,SIDE STACKER,6 or 24,19.7160,0.60,82306,56
SPD-K1-K1                ,7.0398,,SIDE STACKER,6 or 24,11.7330,0.60,82301,56
SPD-K2-H12               ,18.0558,,SIDE STACKER,6 or 24,30.0930,0.60,82312,57
SPD-K2-H6                ,12.7368,,SIDE STACKER,6 or 24,21.2280,0.60,82526,57
SPD-K2-I6                ,17.9616,,SIDE STACKER,6 or 24,29.9360,0.60,82316,57
SPD-K2-K2                ,10.5288,,SIDE STACKER,6 or 24,17.5480,0.60,82322,57
SPD-N1-N1                ,12.5550,,SIDE STACKER,3 or 6,20.9250,0.60,82401,56
SPD-P1-H12               ,21.8808,,SIDE STACKER,3 or 6,36.4680,0.60,82412,56
SPD-P1-H6                ,16.6554,,SIDE STACKER,3 or 6,27.7590,0.60,82506,56
SPD-P1-K6                ,24.4302,,SIDE STACKER,3 or 6,40.7170,0.60,82605,56
SPD-P1-P1                ,14.4906,,SIDE STACKER,3 or 6,24.1510,0.60,82551,56
SPD-P2-H12               ,24.1326,,SIDE STACKER,3 or 6,40.2210,0.60,82512,57
SPD-P2-K6                ,24.4302,,SIDE STACKER,2,40.7170,0.60,82516,57
SPD-P2-P2                ,25.6104,,SIDE STACKER,2,42.6840,0.60,82522,57
SPD-R1-H12               ,24.3666,,SIDE STACKER,3 or 6,40.6110,0.60,82602,56
SPD-R1-K6                ,26.8458,,SIDE STACKER,2,44.7430,0.60,82606,56
SPD-R1-M4                ,25.0314,,SIDE STACKER,2,41.7190,0.60,82604,56
SPD-R1-R1                ,18.0192,,SIDE STACKER,3 or 6,30.0320,0.60,82601,56
SPD-R2-H12               ,26.7432,,SIDE STACKER,2,44.5720,0.60,82612,57
SPD-R2-K6                ,34.0686,,SIDE STACKER,2,56.7810,0.60,82626,57
SPD-R2-M4                ,30.9690,,SIDE STACKER,2,51.6150,0.60,82614,57
SPD-R2-R2                ,31.7538,,SIDE STACKER,2,52.9230,0.60,82622,57
SPD-V1-K6                ,29.3940,,SIDE STACKER,2,48.9900,0.60,82806,56
SS 0-A                   ,11.6509,,SS HARDWARE KIT,1,15.9601,0.73,27231,81
SS 0-B                   ,12.7100,,SS HARDWARE KIT,1,17.4110,0.73,27233,81
SS 0-C                   ,13.7231,,SS HARDWARE KIT,1,18.7988,0.73,27235,81
SS 0-D                   ,15.0034,,SS HARDWARE KIT,1,20.5526,0.73,27237,81
SS 10-A                  ,13.5666,,SS HARDWARE KIT,1,18.5844,0.73,27221,81
SS 10-B                  ,14.9481,,SS HARDWARE KIT,1,20.4769,0.73,27223,81
SS 10-C                  ,16.9651,,SS HARDWARE KIT,1,23.2399,0.73,27225,81
SS 10-D                  ,15.9060,,SS HARDWARE KIT,1,21.7890,0.73,27226,81
SS0,0.1843,,STAINLESS BOLT,100,0.2633,0.70,71851,126
SS00                     ,0.2013,,STAINLESS BOLT,100,0.2875,0.70,71852,126
SS000                    ,0.2189,,STAINLESS BOLT,100,0.3127,0.70,71853,126
SS01                     ,0.2481,,STAINLESS BOLT,100,0.3544,0.70,71854,126
SS02                     ,0.2842,,STAINLESS BOLT,100,0.4060,0.70,71856,126
SS03                     ,0.3133,,STAINLESS BOLT,100,0.4476,0.70,71857,126
SS05                     ,0.3794,,STAINLESS BOLT,100,0.5420,0.70,71858,126
SS07                     ,0.4447,,STAINLESS BOLT,50,0.6353,0.70,71859,126
SS09,0.5099,,STAINLESS BOLT,50,0.7284,0.70,71861,126
SS300                    ,1.0045,,STAINLESS BOLT,100,1.4350,0.70,71846,126
SS31,1.1266,,STAINLESS BOLT,50,1.6094,0.70,71847,126
SS310,2.2187,,STAINLESS BOLT,25,3.1695,0.70,71869,126
SS311                    ,2.3385,,STAINLESS BOLT,25,3.3407,0.70,71870,126
SS312,2.4629,,STAINLESS BOLT,25,3.5184,0.70,71871,126
SS313                    ,2.5834,,STAINLESS BOLT,15,3.6906,0.70,71872,126
SS315,2.8254,,STAINLESS BOLT,15,4.0363,0.70,71873,126
SS317,3.0673,,STAINLESS BOLT,15,4.3818,0.70,71874,126
SS32                     ,1.2503,,STAINLESS BOLT,50,1.7861,0.70,71848,126
SS33                     ,1.3693,,STAINLESS BOLT,50,1.9561,0.70,71849,126
SS34                     ,1.4899,,STAINLESS BOLT,50,2.1284,0.70,71850,126
SS35                     ,1.6120,,STAINLESS BOLT,50,2.3028,0.70,71855,126
SS36                     ,1.7317,,STAINLESS BOLT,50,2.4739,0.70,71860,126
SS37                     ,1.8539,,STAINLESS BOLT,50,2.6484,0.70,71865,126
SS38                     ,1.9783,,STAINLESS BOLT,50,2.8262,0.70,71867,126
SS39                     ,2.0958,,STAINLESS BOLT,25,2.9940,0.70,71868,126
SS6,0.4738,,STAINLESS BOLT,100,0.6769,0.70,71833,126
SS60,0.5084,,STAINLESS BOLT,100,0.7263,0.70,71834,126
SS600,0.5391,,STAINLESS BOLT,100,0.7702,0.70,71835,126
SS61                     ,0.6044,,STAINLESS BOLT,50,0.8634,0.70,71836,126
SS610,1.1896,,STAINLESS BOLT,25,1.6994,0.70,71845,126
SS611,1.2556,,STAINLESS BOLT,25,1.7937,0.70,71882,126
SS612,1.3862,,STAINLESS BOLT,15,1.9803,0.70,71883,126
SS613                    ,1.5167,,STAINLESS BOLT,15,2.1667,0.70,71884,126
SS62                     ,0.6945,,STAINLESS BOLT,50,0.9922,0.70,71837,126
SS63                     ,0.7349,,STAINLESS BOLT,50,1.0499,0.70,71838,126
SS64                     ,0.7987,,STAINLESS BOLT,50,1.1410,0.70,71839,126
SS65                     ,0.8647,,STAINLESS BOLT,50,1.2353,0.70,71840,126
SS66                     ,0.9285,,STAINLESS BOLT,50,1.3264,0.70,71841,126
SS67                     ,0.9945,,STAINLESS BOLT,50,1.4207,0.70,71842,126
SS68,1.0606,,STAINLESS BOLT,50,1.5151,0.70,71843,126
SS69,1.1266,,STAINLESS BOLT,25,1.6094,0.70,71844,126
SS8                      ,0.3372,,STAINLESS BOLT,100,0.4817,0.70,71862,126
SS80,0.3602,,STAINLESS BOLT,100,0.5145,0.70,71863,126
SS800                    ,0.4291,,STAINLESS BOLT,100,0.6130,0.70,71864,126
SS81                     ,0.4331,,STAINLESS BOLT,50,0.6187,0.70,71866,126
SS82                     ,0.4785,,STAINLESS BOLT,50,0.6835,0.70,71875,126
SS83                     ,0.5276,,STAINLESS BOLT,50,0.7537,0.70,71876,126
SS84,0.5752,,STAINLESS BOLT,50,0.8217,0.70,71878,126
SS85,0.6229,,STAINLESS BOLT,50,0.8898,0.70,71879,126
SS87                     ,0.7173,,STAINLESS BOLT,50,1.0247,0.70,71880,126
SS89,0.8140,,STAINLESS BOLT,25,1.1629,0.70,71881,126
SSBW3                    ,1.5713,,STAINLESS BELLEVILLE,50,2.2447,0.70,71930,127
SSBW6                    ,1.3194,,STAINLESS BELLEVILLE,50,1.8848,0.70,71926,127
SSFW0                    ,0.1935,,STAINLESS FLAT WASHER,100,0.2764,0.70,71901,127
SSFW3                    ,0.4262,,STAINLESS FLAT WASHER,50,0.6089,0.70,71905,127
SSFW6                    ,0.3686,,STAINLESS FLAT WASHER,50,0.5266,0.70,71900,127
SSFW8                    ,0.3156,,STAINLESS FLAT WASHER,50,0.4509,0.70,71902,127
SSLW0                    ,0.1497,,STAINLESS LOCK WASHER,100,0.2139,0.70,71916,127
SSLW3                    ,0.3640,,STAINLESS LOCK WASHER,50,0.5200,0.70,71920,127
SSLW6                    ,0.2765,,STAINLESS LOCK WASHER,50,0.3950,0.70,71915,127
SSLW8                    ,0.2435,,STAINLESS LOCK WASHER,50,0.3478,0.70,71917,127
SSN0                     ,0.1981,,STAINLESS NUT,100,0.2830,0.70,71886,127
SSN3                     ,0.8033,,STAINLESS NUT,50,1.1476,0.70,71890,127
SSN6                     ,0.4040,,STAINLESS NUT,50,0.5771,0.70,71885,127
SSN8                     ,0.3548,,STAINLESS NUT,50,0.5069,0.70,71887,127
TG 04,12.0380,,BAR/TOWER CONN,1,18.5200,0.65,71100,95
TG 20,12.8499,,BAR/TOWER CONN,1,19.7691,0.65,71105,95
TG 25,26.4674,,BAR/TOWER CONN,1,40.7190,0.65,71110,95
TG 50,39.1770,,BAR/TOWER CONN,1,60.2723,0.65,71115,95
TG 75,61.0753,,BAR/TOWER CONN,1,93.9620,0.65,71116,95
TGG 04,19.8460,,BAR/TOWER CONN,1,30.5323,0.65,71101,95
TGG 20,25.5367,,BAR/TOWER CONN,1,39.2872,0.65,71106,95
TGG 25,44.9192,,BAR/TOWER CONN,1,69.1064,0.65,71111,95
TGG 50,85.6951,,BAR/TOWER CONN,1,131.8386,0.65,71117,95
TGG 75,134.0656,,BAR/TOWER CONN,1,206.2548,0.65,71118,95
TGGM 04,14.0056,,BAR/TOWER CONN,1,21.5470,0.65,71121,95
TGGM 20,16.4730,,BAR/TOWER CONN,1,25.3430,0.65,71126,95
TGGM 25,29.6513,,BAR/TOWER CONN,1,45.6174,0.65,71131,95
TGGM 50,59.8304,,BAR/TOWER CONN,1,92.0467,0.65,71136,95
TGGM 75,71.5112,,BAR/TOWER CONN,1,110.0172,0.65,71141,95
TGM 04,7.7825,,BAR/TOWER CONN,1,11.9730,0.65,71120,95
TGM 20,11.8366,,BAR/TOWER CONN,1,18.2101,0.65,71125,95
TGM 25,18.0664,,BAR/TOWER CONN,1,27.7944,0.65,71130,95
TGM 50,27.8411,,BAR/TOWER CONN,1,42.8325,0.65,71135,95
TGM 75,41.5096,,BAR/TOWER CONN,1,63.8609,0.65,71140,95
TLBN2-10,16.0484,,GROUNDING BAR NEMA,10,24.6898,0.65,19210,
TLBN2-20,23.5957,,GROUNDING BAR NEMA,10,36.3010,0.65,19220,
TLBN2-12,17.3628,,GROUNDING BAR NEMA,10,26.7120,0.65,19212,
TLBN2-16,22.5992,,GROUNDING BAR NEMA,10,34.7680,0.65,19216,
TLBN2-6,13.5680,,GROUNDING BAR NEMA,10,20.8738,0.65,19026,
TLK-15                   ,16.9835,,XFORMER LUG KITS,1,26.1285,0.65,50280,49
TLK-150                  ,140.3553,,XFORMER LUG KITS,1,215.9313,0.65,50284,49
TLK-500                  ,174.8416,,XFORMER LUG KITS,1,268.9870,0.65,50286,49
TLK-75                   ,32.7434,,XFORMER LUG KITS,1,50.3745,0.65,50282,49
TSA-1125,12.6185,,STACKLUG ADAPTER,10,17.2856,0.73,14091,44
TSA-875,11.5723,,STACKLUG ADAPTER,10,15.8525,0.73,14090,44
U1011,98.7500,,U-TYPE DIE,1,135.2740,0.73,60615,0
U997,98.7500,,U-TYPE DIE,1,135.2740,0.73,60611,0
U998P,98.7500,,U-TYPE DIE,1,135.2740,0.73,60613,0
UA1,98.7500,,U-TYPE DIE,1,135.2740,0.73,60501,0
UA10,98.7500,,U-TYPE DIE,1,135.2740,0.73,60511,0
UA2,98.7500,,U-TYPE DIE,1,135.2740,0.73,60502,0
UA20,98.7500,,U-TYPE DIE,1,135.2740,0.73,60521,0
UA250,98.7500,,U-TYPE DIE,1,135.2740,0.73,60525,0
UA2S,98.7500,,U-TYPE DIE,1,135.2740,0.73,60503,0
UA30,98.7500,,U-TYPE DIE,1,135.2740,0.73,60531,0
UA300,98.7500,,U-TYPE DIE,1,135.2740,0.73,60530,0
UA350,98.7500,,U-TYPE DIE,1,135.2740,0.73,60535,0
UA4,98.7500,,U-TYPE DIE,1,135.2740,0.73,60504,0
UA40,98.7500,,U-TYPE DIE,1,135.2740,0.73,60541,0
UA400,98.7500,,U-TYPE DIE,1,135.2740,0.73,60540,0
UA500,98.7500,,U-TYPE DIE,1,135.2740,0.73,60550,0
UA6,98.7500,,U-TYPE DIE,1,135.2740,0.73,60506,0
UA600,98.7500,,U-TYPE DIE,1,135.2740,0.73,60560,0
UA750,98.7500,,U-TYPE DIE,1,135.2740,0.73,60575,0
UA8,98.7500,,U-TYPE DIE,1,135.2740,0.73,60508,0
UAK,1580.0003,,U-TYPE DIE,1,2164.3840,0.73,60599,0
UBG,98.7500,,U-TYPE DIE,1,135.2740,0.73,60601,0
UC,98.7500,,U-TYPE DIE,1,135.2740,0.73,60603,0
UC1,98.7500,,U-TYPE DIE,1,135.2740,0.73,60401,0
UC10,98.7500,,U-TYPE DIE,1,135.2740,0.73,60411,0
UC2,98.7500,,U-TYPE DIE,1,135.2740,0.73,60402,0
UC20,98.7500,,U-TYPE DIE,1,135.2740,0.73,60421,0
UC250,98.7500,,U-TYPE DIE,1,135.2740,0.73,60425,0
UC3,98.7500,,U-TYPE DIE,1,135.2740,0.73,60403,0
UC30,98.7500,,U-TYPE DIE,1,135.2740,0.73,60431,0
UC300,98.7500,,U-TYPE DIE,1,135.2740,0.73,60430,0
UC350,98.7500,,U-TYPE DIE,1,135.2740,0.73,60435,0
UC4,98.7500,,U-TYPE DIE,1,135.2740,0.73,60404,0
UC40,98.7500,,U-TYPE DIE,1,135.2740,0.73,60441,0
UC400,98.7500,,U-TYPE DIE,1,135.2740,0.73,60440,0
UC500,98.7500,,U-TYPE DIE,1,135.2740,0.73,60450,0
UC6,98.7500,,U-TYPE DIE,1,135.2740,0.73,60406,0
UC600,98.7500,,U-TYPE DIE,1,135.2740,0.73,60460,0
UC750,98.7500,,U-TYPE DIE,1,135.2740,0.73,60475,0
UC8,98.7500,,U-TYPE DIE,1,135.2740,0.73,60408,0
UCK,1678.7503,,U-TYPE DIE,1,2299.6580,0.73,60499,0
UD,98.7500,,U-TYPE DIE,1,135.2740,0.73,60605,0
UD3,98.7500,,U-TYPE DIE,1,135.2740,0.73,60607,0
UFK-8                    ,10.8438,,UF SPLICE KIT,12,14.8545,0.73,80300,67
UO,98.7500,,U-TYPE DIE,1,135.2740,0.73,60609,0
UPP1-350                 ,20.6681,,UNDERGROUND,2,31.7970,0.65,80350,66
UPP1-500                 ,46.1903,,UNDERGROUND,1,71.0620,0.65,80360,66
UPP1-750                 ,71.8764,,UNDERGROUND,1,110.5790,0.65,80370,579
UPP2-350                 ,30.8522,,UNDERGROUND,1,47.4649,0.65,80432,66
UPP3-350                 ,36.5628,,UNDERGROUND,1,56.2505,0.65,80433,66
UPP3-500                 ,66.5717,,UNDERGROUND,1,102.4180,0.65,80453,66
UPP4-350                 ,45.7592,,UNDERGROUND,1,70.3987,0.65,80434,66
UPP4-500                 ,50.7324,,UNDERGROUND,1,78.0499,0.65,80454,66
UPP4-750                 ,105.5334,,UNDERGROUND,1,162.3590,0.65,80474,66
UPP5-350                 ,56.7354,,UNDERGROUND,1,87.2853,0.65,80435,66
UPP5-500                 ,60.0148,,UNDERGROUND,1,92.3304,0.65,80455,66
UPP6-350                 ,64.9306,,UNDERGROUND,1,99.8932,0.65,80436,66
UPP6-500                 ,73.9710,,UNDERGROUND,1,113.8015,0.65,80456,66
UPP6-750                 ,121.7048,,UNDERGROUND,1,187.2382,0.65,80476,66
UPP8-350                 ,83.3414,,UNDERGROUND,1,128.2176,0.65,80438,66
UPP8-500                 ,94.9371,,UNDERGROUND,1,146.0570,0.65,80458,66
UPP8-750                 ,166.9227,,UNDERGROUND,1,256.8041,0.65,80478,66
US350-K                  ,23.9214,,AL MECH SPLICE KIT,1,32.7691,0.73,71005,68
US500-K                  ,46.8202,,AL MECH SPLICE KIT,1,64.1372,0.73,71010,68
USA 2/0-2                ,9.8081,,INSUL DISTR ONE-SIDE,6,16.3468,0.60,13422,60
USA 2/0-2C,9.8081,,INSUL DISTR ONE-SIDE,6,16.3468,0.60,13322,0
USA 2/0-2M               ,27.2455,,INSUL 1-SIDE MNTBL,1,37.3226,0.73,17102,64
USA 2/0-3                ,12.8360,,INSUL DISTR ONE-SIDE,6,21.3934,0.60,13423,61
USA 2/0-3C,12.8360,,INSUL DISTR ONE-SIDE,6,21.3934,0.60,13323,0
USA 2/0-3M               ,30.0621,,INSUL 1-SIDE MNTBL,1,41.1810,0.73,17103,64
USA 2/0-4                ,16.0286,,INSUL DISTR ONE-SIDE,6,26.7144,0.60,13424,61
USA 2/0-4M               ,31.6639,,INSUL 1-SIDE MNTBL,1,43.3752,0.73,17104,64
USA 2/0-5                ,20.0376,,INSUL DISTR ONE-SIDE,4,33.3960,0.60,13425,61
USA 2/0-5M               ,34.7359,,INSUL 1-SIDE MNTBL,1,47.5834,0.73,17105,64
USA 2/0-6                ,22.5462,,INSUL DISTR ONE-SIDE,4,37.5770,0.60,13426,61
USA 2/0-6M               ,39.7192,,INSUL 1-SIDE MNTBL,1,54.4098,0.73,17106,64
USA 2/0-7                ,28.2534,,INSUL DISTR ONE-SIDE,3,47.0890,0.60,13427,61
USA 2/0-8                ,31.3392,,INSUL DISTR ONE-SIDE,3,52.2320,0.60,13428,61
USA 2-2                  ,8.1295,,INSUL DISTR ONE-SIDE,12,13.5492,0.60,13452,60
USA 2-2C,8.1295,,INSUL DISTR ONE-SIDE,12,13.5492,0.60,13352,0
USA 2-2M                 ,22.1462,,INSUL 1-SIDE MNTBL,1,30.3372,0.73,17122,64
USA 2-3                  ,10.8284,,INSUL DISTR ONE-SIDE,12,18.0473,0.60,13453,61
USA 2-3C,10.8284,,INSUL DISTR ONE-SIDE,12,18.0473,0.60,13353,0
USA 2-4                  ,12.4082,,INSUL DISTR ONE-SIDE,6,20.6804,0.60,13454,61
USA 2-4M                 ,28.6925,,INSUL 1-SIDE MNTBL,1,39.3048,0.73,17124,64
USA 250-2M               ,40.3245,,INSUL 1-SIDE MNTBL,1,55.2390,0.73,17152,64
USA 250-3                ,16.8515,,INSUL DISTR ONE-SIDE,4,28.0858,0.60,13599,61
USA 250-3C,16.8515,,INSUL DISTR ONE-SIDE,4,28.0858,0.60,13399,0
USA 250-3M               ,44.6973,,INSUL 1-SIDE MNTBL,1,61.2292,0.73,17153,64
USA 250-4                ,18.4652,,INSUL DISTR ONE-SIDE,4,30.7753,0.60,13600,61
USA 250-4M               ,47.8928,,INSUL 1-SIDE MNTBL,1,65.6066,0.73,17154,64
USA 250-5                ,23.4366,,INSUL DISTR ONE-SIDE,3,39.0610,0.60,13601,61
USA 250-5M               ,51.8011,,INSUL 1-SIDE MNTBL,1,70.9604,0.73,17155,64
USA 250-6                ,27.9522,,INSUL DISTR ONE-SIDE,3,46.5870,0.60,13605,61
USA 250-6M               ,55.6694,,INSUL 1-SIDE MNTBL,1,76.2595,0.73,17156,64
USA 250-7                ,32.4360,,INSUL DISTR ONE-SIDE,2,54.0600,0.60,13606,61
USA 250-8                ,36.1884,,INSUL DISTR ONE-SIDE,2,60.3140,0.60,13610,61
USA 2-6                  ,17.8060,,INSUL DISTR ONE-SIDE,4,29.6766,0.60,13456,61
USA 2-6M                 ,35.8347,,INSUL 1-SIDE MNTBL,1,49.0886,0.73,17126,64
USA 2-8                  ,23.6645,,INSUL DISTR ONE-SIDE,4,39.4408,0.60,13458,61
USA 3/0-2                ,12.8896,,INSUL DISTR ONE-SIDE,6,21.4826,0.60,13432,60
USA 3/0-2C,12.8896,,INSUL DISTR ONE-SIDE,6,21.4826,0.60,13332,0
USA 3/0-3                ,15.3700,,INSUL DISTR ONE-SIDE,6,25.6166,0.60,13433,61
USA 3/0-4                ,17.2780,,INSUL DISTR ONE-SIDE,6,28.7966,0.60,13434,61
USA 350-2M               ,42.1745,,INSUL 1-SIDE MNTBL,1,57.7733,0.73,17132,64
USA 350-3                ,19.6418,,INSUL DISTR ONE-SIDE,4,32.7363,0.60,13614,61
USA 350-3M               ,46.9637,,INSUL 1-SIDE MNTBL,1,64.3339,0.73,17133,64
USA 350-4                ,23.1610,,INSUL DISTR ONE-SIDE,3,38.6016,0.60,13615,61
USA 350-4M               ,51.8011,,INSUL 1-SIDE MNTBL,1,70.9604,0.73,17134,64
USA 350-5                ,27.9522,,INSUL DISTR ONE-SIDE,3,46.5870,0.60,13616,61
USA 350-5M               ,56.1339,,INSUL 1-SIDE MNTBL,1,76.8958,0.73,17135,64
USA 350-6                ,34.6408,,INSUL DISTR ONE-SIDE,2,57.7346,0.60,13620,61
USA 350-6M               ,61.1795,,INSUL 1-SIDE MNTBL,1,83.8075,0.73,17136,64
USA 350-7                ,39.2942,,INSUL DISTR ONE-SIDE,2,65.4903,0.60,13621,61
USA 350-8                ,44.0324,,INSUL DISTR ONE-SIDE,2,73.3873,0.60,13625,61
USA 4-2                  ,6.5826,,INSUL DISTR ONE-SIDE,12,10.9710,0.60,13442,60
USA 4-2C,6.5826,,INSUL DISTR ONE-SIDE,12,10.9710,0.60,13342,0
